MsgID.GLOBAL_POSITION,1528729616.8471854,-122.3974486,37.7924801,0.0460000
MsgID.LOCAL_VELOCITY,1528729616.8471854,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528729616.8476861,0.0170462,0.1171426,-0.0461865
MsgID.LOCAL_VELOCITY,1528729616.8476861,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1528729616.8476861,-122.3974503,37.7924798,0.0570000
MsgID.LOCAL_VELOCITY,1528729616.8476861,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528729616.8481860,-0.0177615,-0.0316378,-0.0572508
MsgID.LOCAL_VELOCITY,1528729616.8481860,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1528729616.8481860,-122.3974500,37.7924786,0.0710000
MsgID.LOCAL_VELOCITY,1528729616.8481860,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528729616.8481860,-0.1528633,-0.0076706,-0.0717907
MsgID.LOCAL_VELOCITY,1528729616.8481860,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1528729616.8486862,False,False
MsgID.GLOBAL_HOME,1528729616.8496869,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1528729616.8501873,-0.1573860,-0.0005891,-0.0847004
MsgID.LOCAL_VELOCITY,1528729616.8501873,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1528729616.8506880,-122.3974500,37.7924785,0.0840000
MsgID.LOCAL_VELOCITY,1528729616.8506880,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528729616.9807739,-0.0555072,0.0215002,-0.0897912
MsgID.LOCAL_VELOCITY,1528729616.9807739,-0.0000074,-0.0000010,0.0000041
MsgID.GLOBAL_POSITION,1528729616.9812746,-122.3974497,37.7924795,0.0890000
MsgID.LOCAL_VELOCITY,1528729616.9812746,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1528729617.2314403,-122.3974501,37.7924812,0.0830000
MsgID.LOCAL_VELOCITY,1528729617.2314403,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528729617.2329416,0.1345520,-0.0091686,-0.0832543
MsgID.LOCAL_VELOCITY,1528729617.2329416,-0.0000051,0.0000035,0.0000137
MsgID.LOCAL_POSITION,1528729617.4806046,0.1274932,-0.1793452,-0.0619849
MsgID.LOCAL_VELOCITY,1528729617.4806046,0.0000094,0.0000072,0.0000104
MsgID.GLOBAL_POSITION,1528729617.4806046,-122.3974520,37.7924811,0.0610000
MsgID.LOCAL_VELOCITY,1528729617.4806046,0.0000000,0.0000000,0.0000000
MsgID.STATE,1528729617.7257669,True,True
MsgID.GLOBAL_HOME,1528729625.0565033,-122.3974500,37.7924800,0.0000000
